Date;High price;Low price;Closing price;Average price;Total volume;Turnover;
2018-10-02;101.11;98.85;101.11;99.07;360;35.667;
2018-10-01;98.24;97.95;97.99;98.05;65;6.373;
2018-09-28;95.95;95.30;95.95;95.61;23;2.199;
2018-09-27;96.22;94.71;94.72;94.78;449;42.557;
2018-09-26;96.50;96.40;96.40;96.46;26;2.508;
2018-09-25;96.02;96.00;96.00;96.01;42;4.032;
2018-09-24;95.06;94.86;95.06;95.06;811;77.091;
2018-09-21;95.78;94.24;94.24;95.55;739;70.613;
2018-09-20;95.31;95.05;95.05;95.13;81;7.706;
2018-09-19;95.74;95.13;95.74;95.56;727;69.474;
2018-09-18;95.90;94.63;95.49;94.67;1.038;98.265;
2018-09-17;96.26;95.80;95.80;96.16;604;58.081;
2018-09-14;;;96.48;;;;
2018-09-13;96.95;96.10;96.48;96.41;153;14.751;
2018-09-12;;;96.59;;;;
2018-09-11;96.59;96.59;96.59;96.59;11;1.062;
2018-09-10;97.22;97.17;97.17;97.17;150;14.576;
2018-09-07;97.58;97.58;97.58;97.58;100;9.758;
2018-09-06;97.98;97.98;97.98;97.98;100;9.798;
2018-09-05;97.59;97.49;97.49;97.58;111;10.831;
2018-09-04;97.77;97.77;97.77;97.77;11;1.075;
2018-09-03;100.00;99.85;99.85;99.94;26;2.598;
2018-08-31;;;101.62;;;;
2018-08-30;101.62;101.62;101.62;101.62;15;1.524;
2018-08-29;102.51;102.05;102.51;102.06;828;84.505;
2018-08-28;103.16;102.79;103.16;102.91;150;15.437;
2018-08-27;;;102.79;;;;
2018-08-24;102.79;102.12;102.79;102.62;39;4.002;
2018-08-23;100.34;100.34;100.34;100.34;10;1.003;
2018-08-22;101.74;101.37;101.37;101.67;620;63.035;
2018-08-21;102.50;102.10;102.10;102.16;358;36.575;
2018-08-20;102.97;102.97;102.97;102.97;8;824;
2018-08-17;102.50;102.15;102.15;102.25;584;59.714;
2018-08-16;;;101.36;;;;
2018-08-15;103.74;101.36;101.36;102.80;610;62.708;
2018-08-14;;;106.33;;;;
2018-08-13;106.33;106.33;106.33;106.33;10;1.063;
2018-08-10;106.64;106.64;106.64;106.64;20;2.133;
2018-08-09;;;103.75;;;;
2018-08-08;;;103.75;;;;
2018-08-07;;;103.75;;;;
2018-08-06;;;103.75;;;;
2018-08-03;103.75;103.75;103.75;103.75;96;9.960;
2018-08-02;;;103.31;;;;
